//Sentences
"B5-0347/ 2000 by Mr Collins, on behalf of the Union for a Europe of Nations Group;", "B5-0347 / 2000 av ledamoten Collins för Gruppen Unionen för nationernas Europa;"
"For these reasons, only paragraphs 6a and 6b in Amendment No 154 are acceptable.", "Av dessa anledningar kan bara punkterna 7 och 8 i ändringsförslag 154 godtas."
"The report reproaches us for having neglected the rural areas and Objective 5B.", "I betänkandet får kommissionen kritik för att ha försummat landsbygden och Mål 5B."
"Queiró, Muscardini, on behalf of the UEN Group, to the Commission (B5-0211/2000);", "Queiró, Muscardini, på UEN-gruppens vägnar, till kommissionen (B5-0211/2000),"
"Bautista Ojeda, on behalf of the Verts/ALE Group, to the Commission (B5-0215/2000).", "Bautista Ojeda, på Verts/ALE-gruppens vägnar, till kommissionen (B5-0215/2000)."
"B5-0347/2000 by Mr Collins, on behalf of the Union for a Europe of Nations Group;", "B5-0347/2000 av ledamoten Collins för Gruppen Unionen för nationernas Europa;"
"(B5-0203/2002) by Mr Marchiani, on behalf of the UEN Group, on the Channel Tunnel;", "(B5-0203/2002) av Marchiani för UEN-gruppen om tunneln under Engelska kanalen,"
"Motion for a resolution (B5-0339/2001) on the area of freedom, security and justice", "Resolutionsförslag (B5-0339/2001) om området med frihet, säkerhet och rättvisa"
"Appointment of a Member of the Court of Auditors (Maarten B. Engwirda) (vote)", "Utnämning av en ledamot av revisionsrätten (Maarten B. Engwirda) (omröstning)"
"We tried it against flu A viruses -- H1N1, H3N2 -- as well as flu B viruses.", "Vi provade det mot influensa-A virus -- H1N1, H3N2 -- såväl som influensa-B virus."
"B4-0831/98 by the ELDR Group-B4-0836/98 by the PSE Group-B4-0843/98 by the PPE Group", "B4-0831/98 av ELDR-gruppen-B4-0836/98 av PSE-gruppen-B4-0843/98 av PPE-gruppen"
"To conclude the debate, I have received a motion for a resolution B6-0278/2005.", "– Jag har mottagit ett resolutionsförslag, B6-0278/2005, för att avsluta debatten."
"I voted in favour of the motion for a resolution on Climate Change B6-0129/2004.", ".– Jag röstade för förslaget till resolution om klimatförändring, B6-0129/2004."
"B5-0110/ 01 by Mr Fruteau, on behalf of the PSE Group, on human rights in Pakistan;", "B5­ 0110 / 01 av Fruteau för PSE-gruppen om mänskliga rättigheter i Pakistan"
"B5-0210/ 2001 by Mrs Maes, on behalf of the Verts/ ALE Group: floods in Mozambique;", "B5-0210 / 2001 av Maes för Verts / ALE-gruppen: översvämningar i Moçambique;"
"It could be A, but certainly not B, C or D, right?", "Det skulle kunna vara E, I eller A, Men absolut inte B, C eller D, eller hur?"
"Certain parts of paragraph 21 are too far-reaching, especially 21(b) and 21(d).", "Punkt 21 är i vissa delar alltför långtgående, framför allt 21 b och 21 d."
"Subject: War against Iraq: Aerial refuelling of B-52 bombers over European cities", "Angående: Kriget mot Irak: tankning av bombplan B-52 som flyger över europeiska städer"
"– B5-0082/ 2004 by Mr van den Berg, on behalf of the PSE Group, on Cambodia;", "– B5-0082 / 2004 av Margrietus J. van den Berg, för PSE-gruppen, om Kambodja."
"In Article 43 the advisory committee is replaced by a type 3B regulatory committee.", "I artikel 43 omvandlas en rådgivande kommitté till ett regleringskommitté av typ 3b."
"And the next morning, supplies of vitamin B12 are delivered to the camp, and the prisoners begin to recover.", "Nästa morgon levererades vitamin B12 till lägret, och fångarna börjar återhämta sig."
"And importantly, it's a rich source of vitamin B12.", "Och, och det här är viktigt, det är en rik källa av vitamin B12."
"Go a little hungry and take B12.", "Jenny Andersson är med och styr universitetet."
"Go a little hungry and take B12.", "Gå lite hungrig och ät B12."
"Assume you want to calculate in cell E1 the sum of the cells in range A1:B2.", "Vi antar att du vill beräkna summan av cellerna i området A1:B2 i cell E1."
"The Managing DirectorFightstar Corporation155 Mountain RiseAntogonish NS B2G 5T8", "The Managing Director Fightstar Corporation 155 Mountain Rise Antogonish NS B2G 5T8"
"For example, the square formed by the first four cells in the upper left corner is addressed as A1:B2.", "Det kvadratiska området av de första fyra cellerna i hörnet uppe till vänster heter då A1:B2."
"The result is the absolute value of the cell reference specified in B2, which in this case is 6.", "Du får därmed cellinnehållets absolutbelopp för cellen vars adress har angetts i B2, i detta fall 6."
"Companies can present their business activities at B2B events.", "Vid B2B-evenemang får företagen presentera sin verksamhet."
"The later time is B2 and the earlier time is A2.", "Det senare klockslaget står då i B2 och det tidigare klockslaget i A2."
"Sally Davies155 Mountain RiseAntogonish NS B2G 5T8", "Sally Davies155 Mountain RiseAntogonish NS B2G 5T8"
"We are located in Building B, entrance B2, entrance room B110.", "Vi finns i B-huset, entré B2, ingång rum B1100."
"We must not claim equality with category B2 Community officials, agreeable though they may be in other respects.", "Vi kan omöjligen begära att likställas med de i och för sig sympatiska gemenskapstjänstemännen i kategori B2."
"This proposal will remove the current budget line B2-5122 and create a new budget heading B1-382.", "Genom detta förslag kommer den befintliga budgetposten B2-5122 att tas bort och en ny budgetrubrik, B1-382, kommer att skapas."
"Use this function, for instance, in cell B2.", "Sätt t.ex. den här funktionen i cellen B2."
"You can, for example, name the range A1:B2 Start.", "Kalla t.ex. området A1:B2 för Start."
"It does not discuss B2B relations, which are covered inter alia by Directive 2006/114/EC.", "Betänkandet omfattar inte marknadsföring av varor och tjänster till företag (business to business, b2b), som främst behandlas i direktiv 2006/114/EG."
"It does not discuss B2B relations, which are covered in particular by Directive 2006/114/EC.", "Betänkandet omfattar inte marknadsföring av varor och tjänster till företag (business to business, b2b), som främst behandlas i direktiv 2006/114/EG."
"The report does not concern relations between companies (B2B), which are specifically covered by Directive 2006/114/EC.", "Betänkandet omfattar inte marknadsföring av varor och tjänster till företag (business to business, b2b), som främst behandlas i direktiv 2006/114/EG."
"LINKÖPING Hus Terra, Campus Valla Entrance 37, hall B2 Tel: 013-28 10 00 (switchboard) Fax: 013-28 69 10", "Hus Terra, Campus Valla Ing 37, korridor B2 Tel: 013-28 10 00 (vx) Fax: 013-28 69 10"
"In sub-chapter B.2.", "I underkapitel B.2."
"Business to business (B2B) events are a very efficient way to connect with other companies that might otherwise be difficult to identify.", "Business to business (B2B)-evenemang är ett mycket effektivt sätt att komma i kontakt med andra företag som annars skulle vara svåra att identifiera."
"Instead, it concerns regulations governing financial institutions and trade between companies (B2B).", "Direktivet är inte primärt ett skydd för medborgarna utan avser regleringar för finansiella institut och handel företag emellan (B2B)."
"We have therefore put forward an amendment concerning the allocation earmarked for controls under Item B2-901, namely an increase from ECU 41 m to ECU 45 m.", "Vi har därför föreslagit en ändring - en ökning från 41 till 45 miljoner ecu - som just gäller avsättningarna till budgetposten B2-901 som avser övervakning."
"Companies can present their business activities at B2B events.", "Vid B2B-evenemang får företagen presentera sin verksamhet."
"It does not discuss B2B relations, which are covered inter alia by Directive 2006/114/EC.", "Betänkandet omfattar inte marknadsföring av varor och tjänster till företag (business to business, b2b), som främst behandlas i direktiv 2006/114/EG."
"It does not discuss B2B relations, which are covered in particular by Directive 2006/114/EC.", "Betänkandet omfattar inte marknadsföring av varor och tjänster till företag (business to business, b2b), som främst behandlas i direktiv 2006/114/EG."
"The report does not concern relations between companies (B2B), which are specifically covered by Directive 2006/114/EC.", "Betänkandet omfattar inte marknadsföring av varor och tjänster till företag (business to business, b2b), som främst behandlas i direktiv 2006/114/EG."
