//Sentences
"Mr President, I shall refer to five reports - and two minutes times five makes ten!", "Herr talman! Jag hänvisar till fem områden - gånger två minuter blir det tio!"
"Mr President, I too shall refer only to the directive on fruit juice, as time is short.", "Herr talman! Även jag kommer av tidsskäl endast att tala om förslaget om juicer."
"Mr President, I shall refer to the main points in my report, as approved.", "Jag skall ta upp de viktigaste punkterna i mitt betänkande såsom det har godkänts."
"Mr Schulz, we shall refer to this topic in due course, according to the order of business.", "Herr Schulz, vi kommer att ta upp den här frågan i sinom tid i enlighet med arbetsplanen."
"(ES) Mr President, I shall refer to the European Charter on the rights of victims of terrorism.", "(ES) Herr talman! Jag ska ta upp den europeiska stadgan om terroroffers rättigheter."
"I shall refer very briefly to the Commission proposal for the 2004 guidelines for employment.", "Låt mig i korthet ta upp kommissionens förslag om 2004 års riktlinjer för sysselsättning."
"I shall refer only to some of the salient points of this debate.", "Jag skall bara ta upp några av de iögonfallande punkterna i denna debatt."
"Given the time, I shall refer mainly to article 14, which is of course the repair clause.", "Jag åsyftar med tanke på tiden framförallt artikel 14 naturligtvis, dvs. reparationsklausulen."
"I shall refer, by way of example, to four areas of action.", "Som exempel skulle jag vilja nämna fyra områden, där man kan göra insatser."
"From a political point of view, a series of questions is being raised to which I shall refer in a moment.", "Ur politisk synvinkel finns det en rad frågor, vilka jag skall tala om i det följande."
"I shall refer to the European Union’ s response to that shortly.", "Jag skall kort hänvisa till Europeiska unionens svar på detta."
"I shall refer to the European Union’s response to that shortly.", "Jag skall kort hänvisa till Europeiska unionens svar på detta."
"I shall refer first to the legitimacy of actions taken.", "Jag skall först gå in på legitimiteten hos de åtgärder som vidtagits."
"I shall refer to paragraphs 26 and 27 of Mr Elles's motion for a resolution on the 1996 discharge.", "Jag vill också erinra om punkt 26 och 27 i Elles förslag till resolution om ansvarsfrihet för 1996."
"I shall refer to both the Eastern and the Western Balkans including Bulgaria and Romania.", "Därför kan jag också tala om Bulgarien och Rumänien."
"I shall refer primarily to the phenomena of mergers and acquisitions in European stock exchanges.", "Jag ska i första hand ta upp fenomenet med uppköp och sammanslagningar på den europeiska aktiemarknaden."
"I shall refer to three factors that seem to me to be fundamental to achieving a strong network of enterprises.", "Jag ska nämna tre faktorer som jag anser vara väsentliga för att skapa ett starkt företagsnät."
"In a moment I shall refer to some of the issues involved.", "Om en stund skall jag nämna några av de frågor som berörs."
"If you continue with the vote I shall refer it to the group chairmen at the Conference of Presidents.", "Om ni fortsätter omröstningen kommer jag att rapportera detta till ordförandena vid ordförandekonferensen."
"I shall refer this matter to the Conference of Presidents.", "Jag kommer att ta upp frågan vid ordförandekonferensen."
"My purpose in travelling here today is to share with you Georgia's European vision.", "Syftet med att komma hit i dag är att dela Georgiens europeiska vision med er."
"No, this is not the kind of optimism that I would like to share with you this morning.", "Nej, det är inte den slags optimism som jag skulle vilja dela med er denna morgon."
"So I'll just share with you ... (Video) Boy: The World Peace Game is serious.", "Jag delar med mig till er... (Video) Pojke: Världsfredsspelet är på allvar."
"So at this moment I can share with you the opinion of the Hungarian Presidency.", "I nuläget kan jag alltså bara informera er om det ungerska ordförandeskapets ståndpunkt."
"In this context I have composed a poem which I should like to share with you.", "I detta sammanhang har jag skrivit en dikt som jag vill läsa upp för er."
"Now I've been influenced in this thinking by two anecdotes that I want to share with you.", "Jag har påverkats i mitt tankesätt av två anekdoter som jag vill dela med er."
"Let me share with you an experience I had last year during the Portuguese presidency.", "Jag vill dela med mig av en upplevelse jag hade under det portugisiska ordförandeskapet."
"Let me share with you for a moment a few thoughts on the track record of the euro.", "Låt mig för ett ögonblick dela med mig av några tankar om resultatet för euron så här långt."
"I would also like to share with you my doubts and questions over other points.", "Jag vill också delge er mina tvivel och frågor inom andra områden."
"And I would like to share with you all some of the pictures that are happening today in Yemen.", "Och jag skulle vilja visa er alla några bilder på vad som händer idag i Jemen."
