//Sentences
"The West-African cooperative bloc, ECOWAS, has condemned the latest coup d'état.", "Det västafrikanska samarbetsblocket Ecowas har fördömt den senaste statskuppen."
"Dan Forsström has been adopted as a PhD in Solid Mechanics from 20 October 2011.", "Dan Forsström har antagits som Doktorand i Hållfasthetslära from 20 oktober 2011."
"Shit, we'd be fools not to ride this strange torpedo all the way out to the end.", "Vi skulle vara dårar om vi inte red den här konstiga torpeden ända till slutet."
"Doktorand - Field trials Ali Beyglou, MSc Changping Yi Ph.D - Numerical Modeling", "Doktorand- Fältförsök Ali Beyglou, MSc Changping Yi Ph.D - Numerisk modellering"
". - Mr President, yet again we are confronted with a coup d'état in Fiji.", "författare. - (EN) Herr talman! Än en gång har en statskupp genomförts på Fiji."
"Slutrapport internationell forskningssamverkan, 2008-2010, PhD-Polis – omgång 2", "Slutrapport internationell forskningssamverkan, 2008-2010, PhD-Polis – omgång 2"
"And I'd heard that from the people who really understood what conflict was about.", "Och jag hörde det från människor som verkligen visste vad en konflikt handlar om."
"As you may know, the citizens' initiative was a major priority for our S&D Group.", "Medborgarinitiativet var, som ni kanske vet, en viktig prioritet för S&D-gruppen."
". - (LT) The situation in Fiji is very tense after yet another coup d'état.", "författare. - (LT) Efter ännu en statskupp råder ett mycket spänt läge i Fiji."
"3D objects are always created with sides of equal length, e.g. as cube or sphere.", "3D-objekt öppnas alltid med lika långa sidor, alltså t.ex. som kub eller klot."
"Mr d'Aboville, each of us has the right to his or her own opinion and judgement.", "Herr d'Aboville, var och en har rätt att ha sin åsikt och göra sin bedömning."
"And then I decided I'd dedicate my life to saving one million people every year.", "Då bestämde jag mig för att viga mitt liv åt att rädda en miljon människor varje år."
"I also thank you for having today appointed Giscard d' Estaing as its Chairman.", "Jag tackar även för att ni i dag har kallat hit ordförande Giscard d'Estaing."
"First, I'd just like to commend the candidates on...... their impressive remarks.", "Först, vill jag bara kommentera dom andra kandidaterna...... deras imponerande tal."
"If we cannot use smart biomaterials, then we'd rather use your very own cells.", "Om vi inte kan använda smarta biomaterial, vill vi helst använda dina egna celler."
"You can select between Adabas, dBase, Text, ODBC, JDBC, ADO, and spreadsheet.", "Du kan välja mellan typerna Adabas, dBase, Text, ODBC, JDBC, ADO, tabelldokument."
"The raison d'être of this military operation has been ascertained as never before.", "Denna militära operations existensberättigande har aldrig framgått så klart som nu."
"Subject: Commission's Plan D for Dialogue, Democracy and Debate and 'Debate Europe'", "Angående: Kommissionens plan D för dialog, demokrati och debatt och ”Debattera EU”"
"So, I could tell you a lot about shame, but I'd have to borrow everyone else's time.", "Så jag kan lära er mycket om skam, men då skulle jag behöva ta alla andras tid."
"If anything can be called a high-profile project, then it is the Misteri d'Elx.", "Om det verkligen finns en sinnebildlig verksamhet så är det Misteri d ' Elx."
"It could be A, but certainly not B, C or D, right?", "Det skulle kunna vara E, I eller A, Men absolut inte B, C eller D, eller hur?"
"C.", "Hallå, här är jag, Mays Gilliam, kommunalrådet från Washington, DC."
"And the first words that I spoke were in Washington, D.C., on the 20th anniversary of Earth Day.", "Och de var de första ord som jag yttrade i Washington, DC, på 20-årsdagen av Jordens Dag."
"The evaluation is based on C and D essays in the field of political science.", "Utvärderingen har baserats på C- och D-uppsatser, det vill säga examensarbeten, inom området statsvetenskap."
"Consequently, I cannot support these viewpoints, expressed either in Recital R or in Paragraphs 1 c, 1 d and 1 e.", "Därför kan jag inte stödja dessa synpunkter, vare sig i skäl R eller punkterna 1 c, 1 d och 1 e."
"And I can understand him, because Washington, D.C. is so rich over there but they are not as healthy as Kerala.", "Och jag kan förstå honom, eftersom Washington är så rikt här borta men dom är inte så friska som Kerala."
"The categories recognised at EU level are: AM, A1, A2, A, B, BE, B1, B1E, C1, C1E, C, CE, D1, D1E, D and DE.", "Följande behörigheter erkänns på EU-nivå: AM, A1, A2, A, B, BE, B1, B1E, C1, C1E, C, CE, D1, D1E, D och DE."
"In grades C and D, 62% of people retired on invalidity pensions while 21% retired on retirement pensions.", "I lönegrad C och D pensionerades 62 procent med invalidpension medan 21 procent pensionerades med ålderspension."
"And the entry grades are D4, D3, C5, B5, A8 and A7.", "Begynnelsegraden är då D4, D3, C5, B5, A8 och A7."
"This fellow, Gilliam, is an alderman from D. C.", "Den nya killen, Gilliam, han är en kille från D. C."
"This is Regina Holliday, a painter in Washington D.C., whose husband died of kidney cancer a year after my disease.", "Detta är Regina Holliday, en målare i Washington D.C., vars make dog i njurcancer ett år efter min sjukdom."
"The following categories AM, A1, A2, A, B, BE, B1, B1E, C1, C1E, C, CE, D1, D1E, D and DE are recognised throughout Europe.", "Följande behörigheter erkänns i EU: AM, A1, A2, A, B, BE, B1, B1E, C1, C1E, C, CE, D1, D1E, D och DE."
