//Sentences
"LiU Service is one of five areas comprised within the University Services (UF).", "LiU-Service är ett av fem områden som finns inom Universitetsförvaltningen (UF)."
"U Win Tin has refused to renounce her political ideals in exchange for her freedom.", "U Win Tin har vägrat att göra avkall på sina politiska ideal i utbyte mot frihet."
"That percentage, by the way, is about the same in the U.S. and Germany and France.", "Den procenten är för övrigt ungefär den samma i USA, Tyskland och Frankrike."
"This is what the U.K. government target on carbon and greenhouse emissions looks like.", "Så här ser Storbritanniens regerings mål för koldioxid och växthusgasutsläpp ut."
"Maghmul f'Ruma fid-disa ' u ghoxrin jum ta ' Ottubru tas-sena elfejn u erbgha", "Magħmul f'Ruma fid-disa ' u għoxrin jum ta ' Ottubru tas-sena elfejn u erbgħa"
"This should not just be more of the same; we would like to see a real U-turn.", "Denna bör inte bara vara mer av samma sak, utan vi skulle vilja ha en helomvändning."
"To me, this U-turn demonstrates an inability to implement European policy.", "För mig visar denna helomvändning på en oförmåga att genomföra europeisk politik."
"Among LiU’s many partners are companies, schools, municipalities and authorities.", "Bland LiU:s många partner finns företag, skolor, kommuner och myndigheter."
"But a completed U1 form will probably allow them to process your claim more quickly.", "Men med ett ifyllt U1-intyg kan man troligtvis handlägga din ansökan fortare."
"U only now remembered the principles of international criminal law?", "Är det först nu som EU har kommit ihåg den internationella straffrättens principer?"
"U only now remembered the principles of international criminal law?", "Är det först nu som EU har kommit ihåg den internationella straffrättens principer?"
"LiU IT also supplies and provides services and systems to other universities.", "LiU-IT levererar och tillhandahåller även tjänster och system till andra universitet."
"At other departments of LiU, philosophical research is largely focused on ethics.", "Vid andra delar av LiU är den filosofiska forskningen till stora delar inriktad på etik."
"He started some of the country's first charter schools in the late '80s in the U.S.", "Han startade några av landets första friskolor i slutet av 80-talet i USA."
"This is a diagram of the U.S. counterinsurgency strategy in Afghanistan.", "Det här är ett diagram över USA:s strategi för att motverka uppror i Afghanistan."
"• closer links between ΝΑΤΟ and the Ε U in order to deal with grass-roots resistance.", "• en närmare koppling mellan Nato och EU för att hantera motståndet på gräsrotsnivå."
"Physical and technological security; access control, fire safety and LiU cards.", "Fysisk och teknisk säkerhet - passersystem, brandsäkerhet och LiU-kort."
"Now, you can see Africa's total debt there and the U.K. budget deficit for reference.", "Här kan ni se Afrikas totala skuld och Storbritanniens budgetunderskott som referens."
"Francis; I'm a U.N. Ambassador and I'm walking around the world."", "Jag är Dr. Francis, jag är en ambassadör från FN och jag vandrar över hela världen.""
"It happened while I was working as a research fellow at the U.S. Naval Academy.", "Det hände när jag jobbade som forskarassistent vid USA:s marinakademi."
"more_vert open_in_new Link to European Parliament warning Request revision I should not, however, be so condescending about the outcome of this U-turn.", "expand_more Men jag skall inte uttala mig nedsättande om resultatet av denna U-sväng."
"This should not just be more of the same; we would like to see a real U-turn.", "Denna bör inte bara vara mer av samma sak, utan vi skulle vilja ha en helomvändning."
"To me, this U-turn demonstrates an inability to implement European policy.", "För mig visar denna helomvändning på en oförmåga att genomföra europeisk politik."
"I would like to congratulate him for his U-turn on Russia during the course of the debate.", "Jag vill gratulera honom för hans kovändning gällande Ryssland under debattens gång."
"The Commission has done a complete U-turn and played right into the Council's hands.", "Kommissionen har gjort en helomvändning och spelat rådet i händerna."
"In fact, this would mean a democratic U-turn which they do not seem to be prepared to make.", "Detta skulle för övrigt innebära en demokratisk omsvängning som de inte verkar redo för."
"A major political U-turn has brought to power a former dissident.", "En stor politisk omsvängning har till exempel fört en tidigare dissident till makten."
"We need to ask ourselves why the Commission has made this U-turn.", "Vi bör fundera. Varför denna helomvändning från kommissionens sida?"
"Since then, the Commission has done a U-turn and submitted a proposal that excludes self-employed workers.", "Sedan dess har kommissionen gjort helt om och lagt fram ett förslag som utesluter egenföretagare."
"The timing of this 'U-turn'seems highly suspect.", "Tidpunkten för denna " helomvändning " verkar mycket misstänkt."
"The timing of this 'U-turn' seems highly suspect.", "Tidpunkten för denna "helomvändning" verkar mycket misstänkt."
"The call to make a cultural U-turn and embrace a culture of responsibility seems to me a very fundamental one.", "Hela pläderingen om att förändra kulturen till en ansvarskultur förefaller mig vara mycket grundläggande."
"In fact, by this complete U-turn, the Commission is once again proposing harmonization at the low end.", "Genom denna fullständiga omsvängning föreslår den oss i själva verket än en gång en kvalitetsanpassning genom sänkning."
"Unfortunately, the document cannot really convince me yet that it really represents a U-turn.", "Olika situationer och problem beskrivs korrekt, men det saknas tydliga och adekvata instrument för att ta itu med dessa skillnader."
"I give credit for this U-turn to him.", "Ansvaret för detta grundlösa slag överlåter jag på honom."
"I am surprised at the recent U-turn within the Committee on Foreign Affairs and the rejection of a number of critical amendments.", "Boken är en fullständig anklagelseakt mot de rådande inskränkningarna av pressfriheten i Rumänien."
"In my opinion, Burma should be put back on the agenda, too, certainly in the wake of Indonesia's U-turn.", "Jag anser, i synnerhet i förlängningen av vändningen i Indonesien, att även Burma återigen måste sättas upp på dagordningen."
"We cannot do a U-turn on this success, but instead we must protect, strengthen and develop it.", "Vi kan inte göra en helomvändning när det gäller denna framgång, utan vi måste i stället skydda, stärka och förbättra Schengenområdet."
"In my opinion, Burma should be put back on the agenda, too, certainly in the wake of Indonesia' s U-turn.", "Jag anser, i synnerhet i förlängningen av vändningen i Indonesien, att även Burma återigen måste sättas upp på dagordningen."
"I think this marks an important U-turn.", "Jag anser att detta är en tydlig omsvängning."
"The ambitions of China and India will probably push this even further if we do not ultimately make a U-turn.", "Kinas och Indiens ambitioner kommer sannolikt att driva på denna utveckling ytterligare om vi inte slutligen gör en helomvändning."
"Francis; I'm a U.N. Ambassador and I'm walking around the world."", "Jag är Dr. Francis, jag är en ambassadör från FN och jag vandrar över hela världen.""
"The U.N. wanted to rush people and supplies to the area.", "FN ville snabbt få personal och utrustning på plats men det fanns inga kartor."
"I worked for the Coastguard, was made a U.N. Goodwill Ambassador.", "Jag arbetade åt kustbevakningen, blev en Goodwill ambassadör åt FN."
"I'm going into some details here, because [the] U.N. do it like this.", "Jag går in på en del detaljer här för att FN gör på det viset."
"This is the U.N.'s population data, you may have seen, for the world.", "Detta är FN's befolkningsdata över världen som ni kanske sett."
"I have a good news that the present, new Head of U.N. Statistics, he doesn't say it's impossible.", "Den goda nyheten är att den nya, nuvarande chefen för FN:s statistik, säger inte att det är omöjligt."
