//Sentences
"Ladies, later, Jackie will do the same to your hair.", "Efter programmet gör Jackie likadant med damernas hår."
"As long as I'm around, Jackie's a chef, not a cop.", "Det är därför Jackie är kock och inte polis."
"Jackie Boy will go into the damn tar pits", "Jackie Boy försvinner ner i tjärgropen."
"As a famous English footballer, Jackie Charlton, said, it is not just a matter of life and death; it is more important than that.", "Som en berömd engelsk fotbollsspelare, Jackie Charlton, sade: det handlar inte bara om liv eller död, det är viktigare än så."
"Anytime, Grandma Jackie Chan.", "När du vill, mormor Jackie Chan."
"All units, focus in on Jackie.", "Alla enheter, sök Jackie."
"Jackie, look, I'm sorry, OK?", "Jag är ledsen, Jackie..."
"Jackie's my boyfriend.", "Jackie är min pojkvän."
"Baggio and Jackie!", "Baggio och Jackie!"
"Jackie, don't worry.", "Var inte orolig."
"Easy there, Jackie.", "Rolig, Jackie."
"All right, Jackie!", "Bravo, Jackie!"
"Hey, it's Jackie.", "Det är Jackie!"
"Jackie, leave.", "Jackie, gå."
"I also pay tribute to the ECR shadow rapporteur, Jackie Foster, who is an expert in this area, and who has worked in the area of air transport as well as in the Transport Committee.", "Jag vill också ge ett erkännande åt skuggföredraganden Jackie Foster, som är expert på det här området och har arbetat på luftfartsområdet och i transportutskottet."
"Mr President, I am for the most part in agreement with Mrs Jackson's argument.", "Herr ordförande! Jag ansluter mig till största delen till Jacksons resonemang."
"Here Mrs Jackson gave an excellent example by referring to the habitats directive.", "Här gav Jackson ett utmärkt exempel genom att hänvisa till habitatdirektivet."
"Mr President, first of all I thank Mrs Jackson for her important question.", "(EN) Herr talman! Jag tackar först av allt fru Jackson för hennes viktiga fråga."
"I was here in 1994 - as was Mrs Jackson - when we adopted the directive.", "1994 var jag med, och det var också Jackson, när vi här beslutade om direktivet."
"Therefore, Mrs Jackson, what the Financial Times said is not true at all.", "Därför, fru Jackson, stämmer inte det som står i Financial Times riktigt, tvärtom."
"Like Mrs Jackson, I also wish to thank the rapporteur for her good work.", "I likhet med Jackson vill även jag tacka föredraganden för hennes goda arbete."
"On a point of order, Mrs Jackson's question No 67 should have been taken with this.", "Angående en ordningsfråga. Jacksons fråga nr 67 borde ha tagits upp här."
"In this instance, I have to say that I disagree with what Mrs Jackson said.", "Här skulle jag vilja säga att jag inte håller med om det som Jackson sade."
". - Madam President, I would also like to thank Mrs Jackson.", "för Verts/ALE-gruppen. - (EN) Fru talman! Jag vill också tacka Caroline Jackson."
"I would like, first of all, to compliment Mrs Jackson for raising this oral question.", "Först och främst skulle jag vilja tacka Jackson för att hon tog upp denna muntliga fråga."
"My name has been mentioned by Mrs Jackson and she has invited me to come and explain.", "Mitt namn har nämnts här av Jackson, och hon har inbjudit mig att komma och förklara detta."
"I agree with Mrs Jackson when she says that there should be a time limit.", "Jackson säger - med rätta, anser jag - att det bör finnas någon gräns."
"It is with satisfaction that I welcome the report by our colleague Mrs Jackson.", "Det är med tillfredsställelse som jag mottar detta betänkande från vår kollega Caroline Jackson."
"I will be voting in favour of the Jackson report on waste.", "skriftlig. - (EN) Jag kommer att rösta för Jacksonbetänkandet om avfall."
"Amendments Nos 12, which Mrs Jackson particularly asked about, and 29 can be accepted in part.", "Ändringsförslag nr. 12, som Jackson speciellt tog upp, och 29 kan delvis accepteras."
"Mr President, first of all may I thank Mrs Jackson and congratulate her on her report.", "Herr ordförande! Låt mig först tacka Jackson och ge mina komplimanger för hennes betänkande."
"Mr Jackson put two detailed questions on Amendments Nos 21 and 28.", "Jackson ställde två detaljerade frågor angående ändringsförslagen 21 och 28."
"Mr President, I should like to congratulate Mrs Jackson for her work.", "Herr ordförande! Jag skulle vilja gratulera Jackson till hennes arbete."
"I believe it was US President Jackson who said ‘I like the noise of democracy’.", "Jag tror att det var den amerikanske presidenten Jackson som sa ”Jag tycker om ljudet av demokrati”."
"The second point I would make is to underline the point made by Dr Jackson.", "För det andra skulle jag vilja understryka dr Jacksons slutsats."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision So describes Jacob Torstensson Bachelor program in Automotive Engineering at Luleå University of Technology (LTU) in which he reads the second year of the three.", "expand_more Så beskriver Jakob Torstensson högskoleingenjörsprogrammet Bilsystemteknik vid Luleå tekniska universitet (LTU) där han läser andra året av tre."
"The case for such a code has been set up by the Ombudsman, Jacob Söderman.", "Det är Europeiska ombudsmannen, Jacob Söderman, som driver frågan om en sådan kod."
"I did not vote for Mr Jacob Söderman to become the Ombudsman in Europe.", "Jag röstade inte för att Jacob Söderman skulle bli Europeiska unionens ombudsman."
"The European Parliament appoints Jacob Söderman, a Finn, as Ombudsman of the European Union.", "Europaparlamentet utser finländaren Jacob Söderman till Europeiska unionens ombudsman."
"And I would also like to wish Jacob Söderman all the best for his Iberian retirement.", "Även jag önskar Jacob Söderman allt gott i det nya livet som pensionär på den iberiska halvön."
"In our view, Jacob Söderman is an effective champion of the rights of citizens.", "Vi tycker att Jacob Söderman är en effektiv mästare när det gäller att ta itu med medborgarnas rättigheter."
"Jacob Zuma, the ANC leader, has now called for action on Zimbabwe.", "ANC-ledaren Jacob Zuma har uppmanat till handling för Zimbabwe."
"It is Jacob Söderman's leadership that has given us the modern institution of a European Ombudsman.", "Vi har sett Europeiska ombudsmannen bli en modern institution under Jacob Södermans ledning."
"I therefore congratulate Jacob Söderman on this report.", "Jag vill därför gärna gratulera Jacob Söderman till denna rapport."
"Madam President, we are debating the last annual report which will be presented to the Parliament by Jacob Söderman.", "Fru talman! Vi diskuterar den sista årsrapport som Jacob Söderman kommer att förelägga parlamentet."
"The Committee acknowledges the work done by Jacob Söderman, and the public too have discovered the Ombudsman.", "Utskottet ger Jacob Söderman erkännande för det arbete han utfört, även medborgarna har hittat ombudsmannen."
"I took up my duties as Ombudsman on 1 April 2003, following the retirement of the first Ombudsman, Mr Jacob Söderman.", "Jag tillträdde som ombudsman den 1 april 2003, efter att den förste ombudsmannen Jacob Söderman avgått."
"Secondly, I wished to pay tribute the outstanding work of the outgoing Ombudsman, Jacob Söderman.", "För det andra, jag skulle vilja ge en hyllning till det utomordentliga arbete som utförts av den avgående ombudsmannen Jacob Söderman."
"Neo, please, I have a son, Jacob, aboard the Gnosis.", "Jag har en son - Jacob - på Gnosis."
"The chemist Jacob Berzelius, 1779-1848, a native of Östergötland, was one of Sweden’s foremost scientists of all time.", "Kemisten Jacob Berzelius, 1779-1848, bördig från Östergötland, var en av Sveriges främsta vetenskapsmän genom tiderna."
"The Ombudsman, Jacob Söderman, works, by virtue of his job description, for the people and in order for good administration to take root in the Union.", "Ombudsman Jacob Söderman arbetar för medborgarna och för att en god förvaltning skall få fotfäste i unionen."
"Mr President, may I begin by congratulating both the Ombudsman, Jacob Söderman, for his annual report and Mr Papakyriazis for his report.", "Herr ordförande! Låt mig börja med att gratulera såväl ombudsmannen, Jacob Söderman, som ledamot Papakyriazis till rapporten respektive betänkandet."
"Mr President, I wish to draw your attention to the Global Security Fund, set up in the early 1990s under the auspices of Jacob Rothschild.", "Herr talman! Jag skulle vilja rikta er uppmärksamhet på Global Security Fund, som inrättades i början av 1990-talet under Jacob Rothschilds beskydd."
"Mr President, I would personally like to congratulate Jacob Söderman on the good work he has done, which resulted in his re-election on 27 October last year.", "Herr talman! Jag vill personligen gratulera Jacob Söderman till ett väl utfört arbete, som resulterade i återval den 27 oktober i fjol."
"The markets almost collapsed in 1996 when it was found there was an undisputed link between BSE and CreutzfeldtJacob disease, which affects humans.", "Marknaden nära nog kollapsade 1996 när det visade sig att det fanns ett otvetydigt samband mellan BSE och Creutzfeldt-Jacobs sjukdom hos människan."
"The report covers the last full year in office of the first European Ombudsman, Mr Jacob Söderman, who is present today and who retired in March 2003.", "Rapporten omfattar det sista året som den första europeiske ombudsmannen var verksam, Jacob Söderman, som också är närvarande i dag och som avgick i mars 2003."
"The new Commission takes office with Jacques Delors, a Frenchman, as its president.", "Den nya kommissionen tillträder med fransmannen Jacques Delors som ordförande."
"Which is precisely why we should welcome Jacques Poos ' motion for a resolution.", "Just av den anledningen måste vi välkomna Jacques Poos resolutionsförslag."
"I believe it was Jacques Delors who once said that no one loves the internal market.", "Jag tror det var Jacques Delors som en gång sa att ingen älskar den inre marknaden."
"Which is precisely why we should welcome Jacques Poos' motion for a resolution.", "Just av den anledningen måste vi välkomna Jacques Poos resolutionsförslag."
"Jean-Jacques Rousseau must certainly have favoured the integrated approach.", "Jean-Jacques Rousseau måste verkligen ha varit för den integrerade strategin."
