//Sentences
"We talked previously about trade policy as an instrument for achieving other goals.", "Vi pratade tidigare om handelspolitik som ett instrument för att nå andra mål."
"It should think hard about the means for achieving these goals.", "Det borde tänka efter ordentligt när det gäller åtgärderna för att nå de målen."
"Achieving the goals set out in them will require money and political will.", "Det kommer att krävas både pengar och politisk vilja för att uppfylla de mål som anges i dem."
"We shall thus be able to see whether we are achieving the goals laid down by means of the budget.", "Vi kommer då att kunna se om vi med budgetens hjälp uppfyller de fastställda målen."
"The way the report has now been drawn up provides good conditions for achieving these goals.", "Betänkandet i dess nuvarande utformning ger goda förutsättningar för att uppnå dessa mål."
"Open coordination means that countries may use different methods of achieving common goals.", "Den öppna samordningen betyder att länderna kan använda olika sätt för att nå gemensamma mål."
"The costs of achieving research goals could realistically be reduced if these countries were involved.", "Min tredje punkt har att göra med hur de tre procenten skall struktureras."
"European initiatives such as INTERREG III could become perfect tools for achieving such goals.", "Europeiska initiativ som Interreg III skulle kunna bli perfekta redskap för att uppnå sådana mål."
"The report acknowledges that we are a long way from achieving these goals, which in themselves were limited.", "Betänkandet bekräftar att vi är långt från att uppnå dessa mål som i sig var begränsade."
"However, looking at the current situation, we seem not to have come any closer to achieving these goals.", "Med tanke på den nuvarande situationen tycks vi emellertid inte ha kommit närmare dessa mål."
"2008 is the halfway point in the timeline for achieving these goals.", "År 2008 är halvtid för tidsgränsen för att nå dessa mål."
"In this respect, I call on the Commission to show greater commitment to achieving these goals.", "I detta avseende uppmanar jag kommissionen att visa ett större engagemang för att dessa mål ska uppnås."
"The costs of achieving research goals could realistically be reduced if these countries were involved.", "Kostnaderna för att nå forskningens mål skulle realistiskt sett minska om dessa länder engagerades."
"We shall thus be able to see whether we are achieving the goals laid down by means of the budget.", "Det arbetssätt som ska användas här måste givetvis utvecklas och det är viktigt att arbetet får en bra start."
"The aim of this financial instrument is to combat poverty, in particular by achieving these goals.", "Syftet med detta finansieringsinstrument är att bekämpa fattigdom, framför allt genom att uppfylla dessa mål."
"They must give to Europe the means of achieving its goals", "De måste ge Europa möjlighet att uppfylla sina mål."
"Mr President, 2009 will be, to put it mildly, a crucial year for achieving the goals of the Lisbon process.", "(EN) Herr talman! År 2009 kommer minst sagt att bli ett avgörande år för att nå målen i Lissabonprocessen."
"Achieving these goals will also result in a safe society.", "Om vi når dessa mål får vi ett säkert samhälle."
"If we adopt this approach, we will take a further step towards achieving the goals laid down by the European Union.", "Om vi antar det förhållningssättet tar vi ytterligare ett steg mot att uppnå de mål som EU ställt upp."
"And while this practice is in use, the chances of achieving our goals concerning sustainable development are very slim.", "Och så länge det systemet tillämpas är våra utsikter att uppnå målet hållbar utveckling mycket små."
"I would add that, with your plan, we will have a milk shortage in the future.", "Jag vill tillägga att vi genom er plan kommer att få brist på mjölk i framtiden."
"Don’t fret -- you can easily add your favorite features back to the Toolbar.", "Oroa dig inte – du kan lätt lägga till dina favoritfunktioner igen i Verktygsfält."
"Once you've created a profile, you'll need to add tracking code to your pages.", "När du har skapat en profil måste du lägga till spårningskod på dina sidor."
"Let me add that with your participation, Mr Figeľ, it is proving to be a great success.", "Låt mig tillägga att er medverkan, Ján Figeľ, gör det till en stor framgång."
"In this regard, Mr Elchlepp, I should like to add one point to your excellent report.", "Här, herr Elchlepp, skulle jag vilja lägga till en punkt till ert utomordentliga betänkande."
"You can modify the defaults as well as add your own designs to the list.", "Du kan ändra skrafferingar eller lägga till egna skrafferingsutkast."
"You may add shipping addresses to your account or revise them at any time.", "Kontakta säljaren och begär en uppdatering av din leveransadress."
"Mr President, I should like to add my support to your speech on The Scotsman and The Herald.", "Herr talman! Jag skulle vilja stödja er i ert anförande angående The Scotsman och The Herald."
"I would add Scotland to your list of places where heating costs are very high.", "Jag skulle vilja lägga till Skottland på er lista över platser där uppvärmningskostnaderna är mycket höga."
"Think about something you've always wanted to add to your life and try it for the next 30 days.", "Tänk på något du alltid velat lägga till i ditt liv och prova på det under de följande 30 dagar."
"You can add photos to your map, as long as they are hosted online.", "Du kan lägga till foton på kartan så länge de lagras online."
"You can change pixel patterns or add your own pixel patterns.", "Du kan ändra pixelmönster och lägga till egna pixelmönsterutkast."
"In bilingual countries, it is possible to add your listing in each language spoken in that respective country.", "I länder där flera språk talas kan du lägga till företagsuppgifterna på vart och ett av språken."
"Madam President, on behalf of the 31 delegates, there is actually little I could add to your words.", "Fru talman! Efter de ord ni yttrat har jag egentligen inte så mycket mer att tillägga å de 31 ledamöternas vägnar."
"You can also add words to your dictionaries.", "Okända men rätt stavade ord kan du lägga in i egna ordböcker."
"In the live mode, you can modify, delete or add objects to your slides while the presentation is running.", "I liveläget kan du ändra och radera objekt på diabilderna och lägga till nya objekt medan presentationen pågår."
"Also, could you add Kenny G to your routine?", "Kom igen! och kunde du lägga till Kenny G till showen?"
"Select an option below for instructions on how to add your other addresses to your Google Mail account.", "Om du vill skicka e-post från ett annat Google Mail-användarnamn måste du först registrera dig för den andra adressen."
"Add this to your priorities and try to agree a relevant course of action with the countries of Europe.", "Lägg detta till era prioriteringar, och försök att komma överens med de europeiska länderna om en process i detta ärende."
