//Sentences
"I know this only too well, as I was responsible for steering through UCITS in 2001.", "Det vet jag mycket väl, eftersom jag 2001 var ansvarig för att lotsa igenom UCITS."
"Parliament then gave its full support to the mandate of the UCITS Contact Committee.", "Parlamentet gav sedan sitt fulla stöd för fondföretagens kontaktkommittés mandat."
"In the past, European UCITS have already proven to be a great success story.", "Europeiska fonder har redan tidigare visat sig vara fantastiskt framgångsrika."
"This will facilitate the adoption of UCITS IV modifications in a single reading.", "Detta kommer att förenkla antagandet av ändringarna i Ucits IV vid en enda behandling."
"It sets some clear objectives for improving the functioning of the UCITS Directive.", "I förslaget fastställs några tydliga mål för att Ucits-direktivet ska fungera bättre."
"Undertakings for collective investment in transferable securities (UCITS)", "Företag för kollektiva investeringar i överlåtbara värdepapper (fondföretag)"
"Mr President, let this be the end of twelve years' debate of the 'UCITS Directive' !", "Herr talman! Måtte detta vara slutet på tolv års behandling av de s.k."
"I am very glad to support Mr Klinz's report and the UCITS revision.", "Det gläder mig mycket att stödja Wolf Klinz' betänkande och fondföretagsöversynen."
"There is, of course, no reciprocity in favour of European UCITS.", "Självklart föreskrivs ingen ömsesidighet till förmån för europeiska fondföretag."
"Many important improvements can be introduced without taking an axe to the UCITS Directive.", "Flera viktiga förbättringar kan genomföras utan att angripa direktivet om fondföretag."
"As for UCITS-1, the Council wholly or partially approved 20 of Parliament's 24 amendments.", "För UCITS-1 har rådet helt eller delvis godtagit 20 av parlamentets 24 ändringsförslag."
"The issue of UCITS may appear difficult, technical and a political minefield.", "Frågan om UCITS kan tyckas svår, teknisk och politiskt riskfylld."
"I appeal to everyone here to evaluate the products which will be used by UCITS.", "Jag uppmanar alla här att göra en utvärdering av de produkter som fondföretag kommer att använda."
"As for UCITS-1, the Council wholly or partially approved 20 of Parliament' s 24 amendments.", "För UCITS-1 har rådet helt eller delvis godtagit 20 av parlamentets 24 ändringsförslag."
"The sector is impatiently awaiting revision of the UCITS Directive.", "Inom denna sektor väntar man otåligt på översynen av UCITS-direktivet."
"The original UCITS Directive was the key to development for European investment funds.", "Det ursprungliga Ucits-direktivet var avgörande för de europeiska investeringsfondernas utveckling."
"UCITS have cleared the way and become a success and an esteemed trade mark outside Europe, too.", "UCITS har banat vägen och blivit en succé och ett värderat varumärke också utanför Europa."
"The current Directive on UCITS has become antiquated and outdated.", "Det gällande UCITS-direktivet har blivit föråldrat och omodernt."
"The UCITS Directive has become a huge brand globally.", "UCITS-direktivet har fått oerhört stor betydelse som varumärke globalt sett."
"The radical step taken by this report is to allow UCITS to use over-the-counter derivatives.", "Det radikala steg som tas i det här betänkandet är att tillåta fondföretag att använda OTC-derivat."
"Otherwise the UCK can maintain off its own bat that they have more influence than they actually do.", "Annars kan UCK för sin del påstå att de skulle ha mer inflytande än vad som faktiskt är fallet."
"The oral amendment reads "from the UCK and armed groups associated with it" .", "Där talas om UCK. Det muntliga ändringsförslaget lyder: "härrörande från det så kallade UCK och därmed anknutna väpnade grupper.""
"That does not mean that the UCK does not use violence as such, but the one who carries the main responsibility should be addressed first.", "Det betyder inte att UCK inte använder våld men den som bär huvudansvaret bör tas om hand först."
"This was considered helping the UCK!", "Det skulle vara hjälp till UCK!"
"Madam President, I have an oral amendment which will further detail Paragraph 40, particularly at the beginning, where it refers to the UCK.", "Fru talman! Jag har ett muntligt ändringsförslag för att skärpa texten i punkt 40 en liten aning, nämligen i skälen."
"Another positive development I would like to remind you of is the fact that the old UCK is now bound up in the reconstruction of the country.", "Det som också är bra, det vill jag erinra om, är det faktum att den gamla UCK nu är integrerad i återuppbyggnaden av detta land."
"The withdrawal of the Serbian Special Police from Kosovo was made conditional upon the actions of the Albanian underground organization, the UCK.", "Tillbakadragandet av den serbiska specialpolisen ur Kosovo gjordes beroende av den albanska underjordiska organisationen UCK: s beteende."
"Unfortunately, it is the UCK, not the 'so-called UCK' , and they are 'armed groups' , not 'allied groups' which is why we oppose the oral amendment.", "Tyvärr är det UCK och inte det så kallade UCK, tyvärr är det beväpnade grupper och inte allierade grupper. Därför motsätter vi oss detta muntliga förslag."
