//Sentences
"Unfortunately, this evolution keeps us from the 10% objective provided by the Visa Waiver program.", "Denna utveckling hindrar oss tyvärr från att nå målet med 10 procent enligt programmet för viseringsundantag."
"Since last December, however, the USA has shown a willingness to make changes in the Visa Waiver Program.", "Sedan december förra året har USA emellertid visat en vilja att göra förändringar i sitt program för viseringsundantag."
"I share the criticism regarding the lack of agreement thus far in relation to visas and the Visa Waiver Program.", "Jag instämmer i kritiken av den bristande överensstämmelsen i fråga om visum och programmet för viseringsundantag."
"(EL) Mr President, ladies and gentlemen, you have presented us with the infamous Twin-Track Visa Waiver Program.", "(EL) Herr talman, mina damer och herrar! Ni har lagt fram det ökända tvåspårsprogrammet för viseringsundantag för oss."
"The introduction of biometric passports removes the final basic condition for Romania's inclusion in the Visa Waiver Program.", "Införandet av biometriska pass avlägsnar det sista grundläggande villkoret för att Rumänien ska omfattas av programmet för viseringsundantag."
". - (RO) I voted for the European Parliament resolution on negotiations between the European Union and the United States with regard to the Visa Waiver Program.", "skriftlig. - (RO) Jag röstade för Europaparlamentets resolution om förhandlingar mellan Europeiska unionen och Förenta staterna om programmet för visumfrihet."
"I felt then and I still feel that the United States has opted for a divide and conquer strategy by proposing bilateral agreements within its Visa Waiver Program.", "Jag ansåg då och jag anser fortfarande att USA har valt en söndra- och härska-strategi genom att föreslå bilaterala avtal inom ramen för sitt program för viseringsundantag."
"I remind the European Commission that 12 Member States, representing over 100 million citizens of the European Union, are still excluded from the Visa Waiver Program for the United States of America.", "Jag påminner Europeiska kommissionen om att tolv medlemsstater, som företräder över 100 miljoner EU-medborgare, fortfarande är utestängda från Förenta staternas Visa Waiver-program."
"For many valid reasons, we have had to emphasise the cause of women.", "Av många tungt vägande anledningar måste vi fokusera på kvinnornas sak."
"We have, it seems, many valid reasons for rejecting the resolution.", "Vi har således haft många och goda skäl till att förkasta resolutionen."
"However, we accept that equally valid reasons may still arise for the establishment of lesser objectives.", "Vi godtar dock att det fortfarande kan uppkomma lika godtagbara skäl för att fastställa lägre mål."
"Nonetheless, I agree that there are exceptions, whereby a Member State may waive the rules, for perfectly valid reasons.", "Jag håller dock med om att det finns undantag där en medlemsstat måste kunna åsidosätta bestämmelserna, av helt och hållet giltiga skäl."
"Those countries have found that there are no longer any valid reasons for maintaining such restrictions to freedom of movement.", "Dessa länder har funnit att det inte längre finns några vägande skäl till att behålla sådana begränsningar av den fria rörligheten."
"We must also take account of cases of cancellation or long delays due to valid technical reasons for safety.", "Vi måste också beakta sådana fall som avser inställda eller kraftigt försenade flygningar på grund av giltiga tekniska orsaker av säkerhetsmässiga skäl."
"Secondly, the imposition of disciplinary measures on players and clubs who terminate their contracts during its first two seasons without just cause or valid reasons.", "För det andra föreskrivs idrottsliga sanktioner mot spelare och klubbar som utan giltiga skäl säger upp ett kontrakt under de två första säsongerna."
"I see no reason for its suppression and hope very much that you will appreciate the entirely valid reasons I have set out as to why it should be approved.", "Jag ser inget skäl till att förbjuda den och hoppas verkligen att ni kommer att sätta värde på de fullkomligt giltiga skälen till varför den bör godkännas, som jag har lagt fram."
"Adding values to goals allows you to see metrics such as Per Visit Goal Value.", "Genom att lägga till värden till mål kan du se statistik som t.ex. Målvärde per besök."
"Every point in the Hungarian Presidency's programme sets these basic values as goals.", "I varje punkt på det ungerska ordförandeskapets program ingår dessa grundläggande värden som målsättningar."
"It is a prerequisite for the achievement of values and goals and also for the rapid and socially just development of a united Europe.", "Konstitutionen är avgörande för om allas stora förväntningar skall kunna infrias."
". - (DE) Mr President, equality between women and men is one of the values and goals of the European Union.", "för Verts/ALE-gruppen. - (DE) Herr talman! Jämlikhet mellan kvinnor och män är ett av EU:s värden och mål."
"It is a prerequisite for the achievement of values and goals and also for the rapid and socially just development of a united Europe.", "Det är en förutsättning för att värden och mål skall kunna uppnås liksom för en snabb och socialt rättvis utveckling av ett förenat Europa."
"The Presidency would like to say that, as a candidate country, Turkey has to share the European Union's values and goals in accordance with the treaties.", "Ordförandeskapet vill säga att Turkiet i egenskap av kandidatland måste dela Europeiska unionens värderingar och mål i enlighet med fördragen."
"An intergovernmental service would be at risk of falling prey to many and more sectoral and strategic interests, and our common values and goals would be lost in the mix.", "En mellanstatlig tjänst skulle riskera att falla offer för många sektorspecifika och strategiska intressen och våra gemensamma värderingar och mål skulle försvinna i mängden."
"The report attends to these points and I voted in favour of its recommendations.", "I betänkandet behandlas dessa punkter och jag röstade för dess rekommendationer."
"The report deals with these issues and I voted in favour of its recommendations.", "I betänkandet behandlas dessa punkter och jag röstade för dess rekommendationer."
"The Danish Social Democrats have today voted in favour of the Oostlander report.", "De danska socialdemokraterna har i dag röstat ja till betänkandet av Oostlander."
"I voted in favour of the report by Mr Katiforis because I believe in this Europe.", "Eftersom jag tror på detta slags Europa har jag röstat för Katiforis betänkande."
"I have voted in favour of the report but against approved Amendment Nos 1 and 2.", "Jag har röstat för betänkandet, men emot de bifallna ändringsförslagen 1 och 2."
"I voted in favour of this resolution on EU agriculture and international trade.", "Jag röstade för den här resolutionen om EU:s jordbruk och internationell handel."
"I also voted in favour of Amendment 15, which notes the margin under heading 2.", "Jag röstade också för ändringsförslag 15, vari påpekas marginalen under rubrik 2."
