//Sentences
"At the same time, the N-VA regards the Constitution as a missed opportunity.", "Samtidigt betraktar N-VA konstitutionen som ett missat tillfälle."
"Somewhere out there was the entire 141st NVA Regiment.", "Någonstans därute fanns hela 141: a nordvietnamesiska regementet."
"The NVA have been spotted in the village half a klik down the river.", "Gulingarna har setts i byn en halv km nedströms."
"He says NVA ain't been around in a couple of months.", "Ingen har varit här på ett par månader."
"We're back in that NVA bunker complex tomorrow.", "Vi är tillbaka i bunkerkomplexet imorgon."
"The NVA killed the old honcho when he said no.", "Den gamle chefen dödades när han sa nej."
"That dink was reported to me as NVA.", "Sergeant Barnes sa att den gulingen var NVA."
"They was NVA, every last one of 'em.", "De var nordvietnameser hela jävla bunten."
"He hates the NVA, but...", "Han hatar dem, men..."
"more_vert open_in_new Link to TED warning Request revision Faraon fick nys om det - Det är sant, direkt från internet.", "expand_more The Pharaoh got wind of this -- This is true, right off the Internet."
"Indeed, South Stream may prove to be USD 4 billion more expensive than Nabucco.", "South Stream kan faktiskt visa sig bli fyra miljarder dollar dyrare än Nabucco."
"Nabucco will only be successful if it receives long-term political guarantees.", "Nabucco kan bara bli framgångsrikt om det får långsiktiga politiska garantier."
"(DE) Mr President, Nabucco was Giuseppe Verdi's first hugely successful opera.", "(DE) Herr talman! Nabucco var Giuseppe Verdis första riktigt stora operasuccé."
"In this sense, the Nabucco project is a strategic project for the European Union.", "I detta avseende är Nabuccoprojektet ett strategiskt projekt för Europeiska unionen."
"This will require a new trans-Caspian pipeline to link up with the Nabucco project.", "Det kommer att kräva en ny transkaspisk pipeline som kopplas till Nabuccoprojektet."
"Why not interconnect the Nabucco gas pipeline operation with the South Stream project?", "Varför inte koppla ihop driften av Nabuccogasledningen med South Stream-projektet?"
"(RO) We welcome the signing of the Nabucco project agreement on 13 July in Ankara.", "(RO) Vi välkomnar undertecknandet av avtalet om Nabucco-projektet den 13 juli i Ankara."
"This includes contacts, for instance, regarding the trans-Caspian gas pipeline, Nabucco.", "Det omfattar kontakter, till exempel, om Nabucco-gasledningen över Kaspiska havet."
"What concrete steps is the Commission taking in order to support Nabucco?", "Vilka konkreta åtgärder har kommissionen vidtagit för att stödja Nabucco-projektet?"
"What concrete steps is the Council taking in order to support Nabucco?", "Vilka konkreta åtgärder har rådet vidtagit för att stödja Nabucco-projektet?"
"Does it intend to keep Parliament informed about the progress of the Nabucco project?", "Tänker kommissionen informera parlamentet om Nabucco-projektets utveckling?"
"This would bring problems in many areas, including the Nabucco project.", "Detta skulle innebära problem på många områden, bland annat för Nabucco-projektet."
"Nabucco may prove to be an excellent step towards ensuring energy security.", "Nabucco kan visa sig bli ett viktigt steg mot en trygg energiförsörjning."
"Apart from that, we also face the issue of energy security regarding the Nabucco pipeline.", "Vi tar dessutom upp frågan om energisäkerhet när det gäller Nabuccopipelinen."
"If we do support companies, why Nabucco?", "Min andra fråga är följande: om vi ska stödja företag, varför då Nabucco?"
"We are seeing the Nabucco project drifting, to cite just one example.", "Vi ser att Nabuccoprojektet inte fungerar så bra, för att bara ta ett exempel."
"The Nabucco project is therefore fine, and the South Stream project is fine.", "Nabucco-projektet är med andra ord något positivt, liksom South Stream."
"Romania has been and remains a strong supporter of the Nabucco project.", "Liksom tidigare är Rumänien alltjämt en varm anhängare av Nabucco-projektet."
"The implementation of the Nabucco project is exceptionally important in this regard.", "Genomförandet av Nabucco-projektet är ytterst viktigt i det avseendet."
"As regards the Nabucco pipeline, of course there are explanations like that.", "Vad beträffar Nabucco-ledningen finns det förstås sådana förklaringar."
"(Applause) PM: Nadia, I think you've just given us a very different view of Yemen.", "(Applåd) PM: Nadia, jag tror att du just gett oss en mycket annorlunda bild av Jemen."
"Nadia, please don't take this the wrong way, but, but you're -- you're everything that I used to want.", "Missförstå inte det här nu... för du är -- allt jag nånsin har önskat mig."
"And obviously, Nadia won't expect you to hop in the sack.", "Då räknar ju inte Nadia med att ni två hoppar i säng."
"Guys, if you'll excuse me, I'm gonna go look for Nadia.", "Ursäkta mig, men jag tänker leta rätt på Nadia."
"Hey, why don't you bring Nadia to the concert first?", "Du kan väl ta med henne på konserten först?"
"Less notorious Romanians include the writer Eugene Ionesco, the gymnast Nadia Comăneci and the composer George Enescu.", "Andra välkända rumäner är författaren Eugene Ionesco, gymnasten Nadia Comăneci och kompositören George Enescu."
"Nadia Al-Sakkaf: Well, I'm glad to be here.", "Nadia Al-Sakkaf: Jag är glad över att vara här."
"Jim, what's the big deal with Nadia, anyway?", "Jim, Varför är det så viktigt med Nadia?"
"Plenty of opportunities to practice for Nadia.", "Massor av träning inför Nadia."
"Jim, you've had experience since Nadia.", "Du har väl lärt dig nåt sen Nadia?"
"" Oh, wait, Nadia, don't go. " Splat.", "" Vänta, Nadia, gå inte. " Plask! l"
"PM: Thank you for those images, Nadia.", "PM: Tack för de bilderna, Nadia."
"Well, I wish you were here, Nadia.", "Jag önskar du vore här, Nadia."
"Nadia called me this morning.", "Nadia ringde i morse."
"Hey -- Hey, Nadia.", "Hallå, Nadia."
"Nadia's coming.", "Nadia kommer."
"In these circumstances, the timing of the Nagoya Summit could not be better.", "Under dessa omständigheter kunde toppmötet i Nagoya inte komma lägligare."
"Finally, with regard to the EU speaking with one voice: I saw how this worked in Nagoya.", "Slutligen, när det gäller samstämmigheten inom EU - jag såg hur det fungerade i Nagoya."
"This is why I feel that even today we should all be thinking about what to do in Nagoya.", "Därför hoppas jag att vi redan i dag gemensamt funderar över vad vi skall göra i Nagoya."
"We intend to explore ways and means to do this, together with our partners in Nagoya.", "Vi har för avsikt att utforska olika sätt att göra detta tillsammans med våra partner i Nagoya."
"What should we expect at Nagoya between 18 and 29 October 2010?", "Vad ska vi förvänta oss av mötet i Nagoya mellan den 18 och 29 oktober 2010?"
"Therefore, we must fight to conserve it at the conference in Nagoya.", "Därför måste vi kämpa för att bevara den vid konferensen i Nagoya."
"In this respect, things are looking good in terms of Europe's commitment to Nagoya.", "I det avseendet ser EU:s åtaganden i Nagoya bra ut."
"That is when it becomes really important; otherwise, our promises in Nagoya will be nothing but empty words.", "Det är då det blir riktigt viktigt. Annars blir inte våra löften i Nagoya mer än tomma ord."
"Honourable Members, several of you have rightly pointed out the importance of the conference in Nagoya.", "Kära ledamöter! Flera av er har helt riktigt påpekat vilken betydelse konferensen i Nagoya hade."
"I hope he will be able to get these adopted in Nagoya and I also hope that the Community will speak with one voice.", "Jag hoppas att han kommer att få dem antagna i Nagoya och att EU kommer att uppträda enat."
"Conference on Biological Diversity - Nagoya 2010 (vote)", "Konferensen om biologisk mångfald - Nagoya 2010 (omröstning)"
"Madam President, in two weeks' time, we shall all be heading to Nagoya, Japan, to discuss biodiversity.", "Fru talman! Om två veckor ska vi alla bege oss till Nagoya i Japan för att diskutera biologisk mångfald."
"I voted in favour of this motion in advance of the COP 10 meeting on Biodiversity in Nagoya in Japan this month.", "Jag röstade för detta förslag före COP 10-mötet om biologisk mångfald i Nagoya i Japan denna månad."
"Nagoya/Cancún are pretty much connected stories.", "Konferenserna i Nagoya och Cancún hänger i stort sett ihop."
"One is our European line, the other is the international Nagoya line, about which you had more to say.", "Den ena är vår europeiska linje, och den andra är den internationella linjen i Nagoya, som ni hade mer åsikter om."
"Yet even more importantly, ultimately, when we return from Nagoya, this has to be translated into European policy.", "Men något som är ännu viktigare är att detta i slutändan omvandlas till EU-politik när vi kommer hem från Nagoya."
"There is special mention of this in the Nagoya targets.", "Detta nämns särskilt i Nagoyamålen."
"However, the credibility of the European Union - the Commission, the Council and the Member States - is not only going to be at stake in Nagoya.", "EU:s trovärdighet - kommissionens, rådets och medlemsstaternas trovärdighet - står dock inte på spel bara i Nagoya."
