//Sentences
"I also hope that we can have talks with other possible supporters of the project.", "Jag hoppas också att vi kan överlägga med andra som eventuellt stöder projektet."
"I also hope that the Member States and the Commission will keep the debate alive.", "Jag hoppas även att medlemsstaterna och kommissionen håller debatten vid liv."
"I also hope that the Central Bank will help it to do so in a positive spirit.", "Jag hoppas också på att centralbanken kommer att bidra till det i en positiv anda."
"I also hope that the Commission will always put its finger on the actual problems.", "Jag hoppas också att kommissionen alltid kommer att lyfta fram de faktiska problemen."
"I also hope that this legislative proposal is quickly adopted and implemented.", "Det är min förhoppning att detta lagförslag snabbt blir färdigt och vinner laga kraft."
"I also hope that, in the future, there will be cooperation with the tourist industry.", "Jag hoppas också att det i framtiden blir ett samarbete med turistindustrin."
"That is what I intend to do, and I also hope to have your support in this regard.", "Det är vad jag avser att göra, och jag hoppas också att jag har ert stöd i det hänseendet."
"I also hope that they do not have a specific segment of the electorate in mind.", "Jag hoppas också att de inte har någon specifik väljargrupp i åtanke."
"I also hope that the same is done in relation to parliamentary control.", "Jag hoppas att man gör detsamma när det gäller den parlamentariska kontrollen"
"On that point I also hope that the Commission will draw strength from this.", "På den punkten hoppas jag också att kommissionen kommer att finna styrka."
"So I also hope that the plenary session will support these initiatives.", "Jag hoppas därför att dessa initiativ också kommer att få stöd i plenarsammanträdet."
"I also hope that we can work together on the things laid down in this working programme.", "I övrigt hoppas jag att vi gemensamt arbetar för det som fastslås i arbetsprogrammet."
"This is an injustice which I also hope this Parliament and the Council will rectify.", "Detta är en orättvisa som jag också hoppas att parlamentet och rådet kommer att korrigera."
"I also hope, of course, that we can continue the debate in the committee.", "Jag hoppas naturligtvis också att vi kan fortsätta debatten i utskottet."
"I also hope that this will obtain a majority in the House tomorrow.", "Det är också min förhoppning att detta kan få en majoritet bakom sig i morgon."
"I also hope that the Council will take Parliament' s wishes into consideration.", "Jag hoppas att rådet beaktar parlamentets önskan i den här frågan."
"I also hope that the Commission will be more proactive in its support for the scheme.", "Jag hoppas också att kommissionen kommer att vara mer proaktiv i sitt stöd till programmet."
"I also hope that the Council will accept our proposed amendments.", "Jag hoppas att rådet också övertar det som vi föreslår här i ändringsförslagen."
"I also hope that we shall obtain wide support for the proposals here in the House.", "Jag hoppas också att förslagen skall få stort stöd här i kammaren."
"I also hope that the Council will take Parliament's wishes into consideration.", "Jag hoppas att rådet beaktar parlamentets önskan i den här frågan."
"What I also like very much is that it does not overdramatise.", "Vad som särskilt tilltalar mig är att det inte förekommer någon dramatik i det."
"And I also like to say she's the only person who actually knows all the rules of Wikipedia, so ...", "Jag brukar också säga att hon är den enda som känner till alla regler på Wikipedia."
"I also like to see Commissioner Wallström fighting – you make a nice couple when you are fighting.", "Jag skulle också vilja se kommissionsledamot Margot Wallström slåss – ni är ett sött par när ni slåss!"
