//Sentences
"What we are therefore witnessing is a reduction of the scope of Community policies.", "Det vi bevittnar är därför en minskning av gemenskapens politiska omfattning."
"Firstly, the policy of adaptation should be added to all Community policies.", "För det första borde anpassningsstrategin gälla alla gemenskapens politiska områden."
"This legislation should be strict and well integrated into other Community policies.", "Den här lagstiftningen bör vara strikt och väl integrerad i övrig gemenskapspolitik."
"Their consent to the Community depends on the success of the Community's policies.", "Deras godkännande av gemenskapen beror på om gemenskapspolitiken lyckas."
"Community policies have presented many challenges to the outermost regions.", "Gemenskapens politikområden har utgjort många utmaningar för de yttersta randområdena."
"Environmental issues must be included in all Community policies and decisions.", "Miljöfrågorna måste integreras i all gemenskapspolitik och alla beslut."
"All the evidence shows poor coordination in many Community policies.", "Uppenbarligen en dålig samordning mellan en rad politikområden inom gemenskapen."
"The impact of Community policies and actions on urban towns and municipalities is clear.", "Effekterna av EU: s politik och åtgärder för städer och tätortskommuner är uppenbar."
"What we are therefore witnessing is a reduction of the scope of Community policies.", "Kommissionen visar en anmärkningsvärd generositet mot dessa regioner."
"Community policies have presented many challenges to the outermost regions.", "Jag stöder båda betänkandena eftersom de är välskrivna och omfattar de viktigaste punkterna."
"Are the own resources that allow Community policies to be financed still sufficient?", "Är de egna medlen som gör det möjligt att finansiera gemenskapspolitiken fortfarande lämpliga?"
"It is a policy that will feed from and into other Community policies.", "Det är en politik som kommer att få näring från och ge näring åt övrig gemenskapspolitik."
"All Community policies will be duly funded in 2005, in accordance with the established priorities.", "All EU-politik kommer att finansieras 2005 i enlighet med fastlagda prioriteringar."
"Despite all of this, the forests have been a kind of 'poor relation ' amongst Community policies.", "Trots detta har skogen varit något av en " oäkting " i gemenskapspolitiken."
"formulate a forest strategy and coordinate the various Community policies which affect it;", "att utforma en skogsbruksstrategi och samordna gemenskapens olika åtgärder som påverkar den,"
"Irregularities also appear, in particular, because other Community policies are not followed.", "Det dyker också upp sådana fel som att andra politiska områden i gemenskapen inte beaktas."
"We have adopted so many measures in this House and in Community policies over recent years!", "Vi har antagit så många politiska åtgärder i parlamentet och inom gemenskapen de senaste åren!"
"In my opinion, these contradictions are not all that serious in terms of Community policies.", "Jag menar att motsättningarna inom gemenskapspolitiken i själva verket inte är så allvarliga."
"Fourthly, complementarity with other Community policies.", "Den fjärde punkten: komplementariteten med gemenskapens övriga politikområden."
"Therefore we need integrated Community assistance and policies that create opportunities.", "Vi behöver därför integrerat stöd och integrerad politik inom gemenskapen som skapar möjligheter."
"The degree 90 will be calculated based on the 1.5708 input value.", "Ur det inmatade värdet 1,5708 beräknas graderna till 90 för vinkeln."
"The degree 5.73 will be calculated based on the 01 input value.", "Ur det inmatade värdet 0,1 beräknas graderna till 5,73 för vinkeln."
"Travel days are calculated based on times taken in the days of steam and the benefits come from a time when working abroad was extremely unusual.", "Resdagar beräknas på grundval av hur lång tid det tog när man reste med ånglok och bidragen härrör från en tid när det var extremt ovanligt att arbeta utomlands."
"The net profit for your business can then be calculated based on your company's revenue from sales made via your AdWords advertising, minus the cost of your advertising.", "Du kan sedan räkna ut nettovinsten för ditt företag utifrån de intäkter företaget har fått genom försäljning via din AdWords-annonsering, minus kostnaden för annonseringen."
