//Sentences
"The European Court of Justice (ECJ) has put us in a very difficult position here.", "Europeiska gemenskapernas domstol har försatt oss i en mycket svår situation här."
"No doubt this is the first move in the next set of proceedings in the ECJ.", "Ingen tvekan om att det här är första steget i nästa uppsättning förfaranden i EGT."
"It restores the balance so clearly abandoned by the ECJ in its recent judgments.", "Det återställer den jämvikt som helt uppenbart har störts av EG-domstolens aktuella domar."
"On the contrary, I think that the ECJ rulings have been very clear indeed.", "Tvärtom anser jag att EU-domstolens domar faktiskt har varit mycket tydliga."
"When will the ECJ finally fully implement the internal control standards?", "När kommer EG-domstolen äntligen att till fullo införa de interna kontrollnormerna?"
"Why, then, should we pay a data protection supervisor as much as a judge at the ECJ?", "Varför skall vi alltså betala en datatillsynsman som vi betalar en domare vid EG-domstolen?"
"ECJ 1 April 2008, C-212/06, Flemish care insurance scheme, ECR 2008, I, 1683.", "Domstolens dom av den 1 april 2008 i mål C‑212/06, flamländska vårdförsäkringen, REG 2008, s."
"This must happen so that the judgments of the ECJ will no longer simply be ignored.", "Detta måste ske så att EG-domstolens domar inte längre ignoreras."
"We should also remember that the ECJ rulings are binding on one party, namely the European Union.", "Vi bör också komma ihåg att EG-domstolens domar är bindande för en part, nämligen EU."
"It is, though, the legislators that should define them and not the ECJ.", "Det är dock lagstiftarna som bör fastställa dem, inte EG-domstolen."
"But, thanks to an ECJ judgment, some innocent people's data will now be returned.", "Men tack vare en dom från EG-domstolen kommer nu vissa oskyldiga människors uppgifter att återlämnas."
"Indeed, how could we fail to sympathise with the concerns expressed by the ECJ and CFI?", "Hur kan man undvika att ta intryck av den oro som uttrycks av domstolen och förstainstansrätten?"
"Do we actually need to legislate if the ECJ follows this ruling?", "Behöver vi verkligen lagstifta om EG-domstolen följer detta avgörande?"
"The problems lie in implementation and interpretation by the European Court of Justice (ECJ).", "Problemet ligger i EG-domstolens genomförande och tolkning av det."
"Then the ECJ drove a horse and cart through minimum-wage policies.", "Sedan visade EG-domstolen på svagheterna i politiken om minimilön."
"WE cannot allow the ECJ to make policy in this area on a case by case, piecemeal basis.", "Vi kan inte tillåta att EG-domstolen fastställer en policy i frågan från fall till fall och bit för bit."
"The ECJ in Luxembourg rules on the application and interpretation of the treaties of the European Union.", "EG-domstolen i Luxemburg avgör tillämpning och tolkning av Europeiska unionens fördrag."
"This period should in fact allow sufficient leeway for the ECJ to hand down a clarificatory ruling.", "Denna period bör egentligen ge tillräckligt utrymme för att reda ut saken inom EG-domstolen."
"This report provides an exhaustive analysis of the budgetary situation of the European Court of Justice (ECJ).", "Detta betänkande innehåller en uttömmande analys av EU-domstolens budgetsituation."
"That is why it is important for there also to be recourse to the ECJ.", "Därför är det viktigt att vägen till EG-domstolen öppnas."
"We need a system which also encourages manufacturers to invest in eco-design.", "Vi behöver ett system som även uppmuntrar tillverkare att investera i ekodesign."
"A good eco-design directive is important not only for Europe but also for the world.", "Ett bra ekodesigndirektiv är viktigt inte bara för EU, utan även för världen."
"The Eco-design Directive adopted last year provides it with ample opportunities for this.", "Ekodesigndirektivet som antogs föra året ger rikliga möjligheter till detta."
"The dynamic setting of minimum efficiency standards is embedded in the Eco-design Directive.", "I ekodesigndirektivet fastställs tydligt minimikrav på energieffektivitet."
"A good eco-design directive is important not only for Europe but also for the world.", "Jag hoppas att rådet inte kommer att ge vika för dessa lobbyister."
"The second was about the eco-design measure for fridges and TV sets.", "Den andra punkten gäller ekodesign-åtgärden för kylskåp och tv-apparater."
"The Eco-design Directive adopted last year provides it with ample opportunities for this.", "Jag ska inte upprepa dem här i kammaren, men de är alla viktiga."
"The aim of eco-design is to integrate technical possibilities when they are at their greatest.", "Att inbegripa de tekniska möjligheterna då de är som störst är det som ekodesign handlar om."
"The Eco-design Directive, in my opinion, does offer a way forward.", "Direktivet om ekodesign erbjuder enligt min åsikt en väg framåt."
"The best way to prevent waste is to change the eco-design of these products.", "Det bästa för att förebygga avfall, bästa kolleger, är en ändrad ekologisk utformning av de här produkterna."
"The aim of eco-design is to integrate technical possibilities when they are at their greatest.", "Det är då viktigt att vi får nya verktyg för att spara energi."
"Only this sort of approach will act as any real incentive in eco-design.", "Det är inte förrän man närmar sig saken på ett sådant sätt som man verkligen sporrar till ekologisk planering."
"There will of course be a debate on Eco-design later.", "En debatt om ekodesign kommer förstås att hållas senare."
"His research area is eco-design and knowledge sales.", "Forskningsområdet är ekodesign och tjänsteförsäljning."
"It seeks to promote eco-design.", "Meningen är att ekologisk utformning skall stimuleras."
"In 2005, all 27 Member States agreed to abide by the framework for the setting of eco-design requirements for energy-using products.", "År 2005 enades alla 27 medlemsstater om att följa ramen för att fastställa krav på ekodesign för energianvändande produkter."
"The Eco-design Directive represents a big opportunity for industry to build more competitive businesses based on green technologies.", "Direktivet om ekodesign utgör en stor möjlighet för industrin att bygga mer konkurrenskraftiga företag baserade på grön teknik."
"The result of our joint efforts reviewing the Eco-design Directive is, in my opinion, to a large extent, a missed opportunity.", "Resultatet av våra gemensamma insatser för att omarbeta direktivet om ekodesign utgör, enligt min åsikt, en möjlighet som har gått förlorad."
"I have no objection to voluntary marking which has the purpose of testing the qualitative properties of products, such as ECO Design for example.", "Jag har inga invändningar mot frivillig märkning som syftar till att testa produkters kvalitativa egenskaper, t.ex. ECO Design."
