//Sentences
"When DeWald took over he stuck me down here on what he calls park safety watch.", "När DeWald tog över flyttade han mig hit, till den s. k. bevakningsavdelningen."
"Do any of these tunnels lead to somewhere only DeWald's boys can go?", "Leder nån tunnel till nåt ställe dit bara DeWalds killar får gå?"
"God damn it, we spent a fucking year with our noses up DeWald's ass!", "l ett helt jävla år har vi varit DeWald på spåren!"
"Will the DeWald family please come to Tiny Town?", "Familjen DeWald ombedes komma till Ministaden."
"We can put Sanderson and DeWald's ass in jail.", "Vi kan sätta dit Sanderson och DeWald."
"The DeWald family to Tiny Town.", "Familjen DeWald till Ministaden."
"DeWald is pissed.", "DeWald är förbannad."
"There is, of course the ‘Europe Direct’ network of information centres; only this last weekend, I was present at the opening of one in Furth im Wald, and it is splendid.", "Naturligtvis finns nätverket för informationscentrum ”Europa Direkt”, och senast under det gångna veckoslutet var jag närvarande vid öppnandet av ett i Furth im Wald, som är utmärkt."
"Mrs Benita Ferrero-Waldner must also agree with me that this is what we should do.", "Benita Ferrero-Waldner måste också hålla med mig om att det är detta vi bör göra."
"Mrs Ferrero-Waldner has also now said very clearly that they should do so.", "Benita Ferrero-Waldner har också mycket tydligt förklarat att de bör göra detta."
"Mrs Ferrero-Waldner has also now said very clearly that they should do so.", "Benita Ferrero-Waldner har också mycket tydligt förklarat att de bör göra detta."
"(PL) Madam President, I would like, above all, to say something to Mrs Ferrero-Waldner.", "(PL) Fru talman! Jag vill framför allt säga en sak till Benita Ferrero-Waldner."
"That is the information I wanted to pass on to you on behalf of Mrs Ferrero-Waldner.", "Det var den information jag ville förmedla till er på Benita Ferrero-Waldners vägnar."
"Why do they make no reference to the specific proposal of Commissioner Ferrero-Waldner?", "Varför omnämns inte detta förslag från Benita Ferrero-Waldner i rådets slutsatser?"
"I should like to welcome Mrs Ferrero-Waldner, President-in-Office of the Council.", "Vi behandlar frågor till rådet. Vi hälsar rådets ordförande, Ferrero-Waldner, välkommen."
