//Sentences
"How can we do away with these Eastern European reservations about the European Union?", "Hur skall vi bli av med de här östeuropeiska misstankarna mot Europeiska unionen?"
"But how can we do this without the necessary reports at our disposal?", "Hur kan vi göra det om vi inte har tillgång till de lämpliga rapporterna?"
"How can we do that if we make things even more complicated?", "Hur kan vi göra det om vi gör saker och ting ännu mer komplicerade?"
"How can we do this if Europe loses its leadership, if it leaves these actions in the hands of the Member States?", "Hur ska det gå till om EU blir av med sitt ledarskap och lägger dessa åtgärder på medlemsstaterna?"
"When we boast so much here about health and safety, how can we do something which undermines it?", "Hur kan vi godkänna något som underminerar hälsa och säkerhet när vi skryter så mycket om just dessa faktorer här?"
"How can we do this if the policy is only national?", "Hur ska detta gå till om politiken bara är nationell?"
"How can we do this without the Lisbon Treaty, though?", "Men hur kan vi göra detta utan Lissabonfördraget?"
"How can we do anything with the euro so high?", "Hur kan vi göra något när euron har så högt värde?"
"How can we do this? Biomass and hydroelectric power account for 95% of renewable energy sources in the European Union.", "Hur skall man åstadkomma detta? 95 procent av de förnybara energikällorna i Europeiska unionen utgörs av biomassa och vattenkraft."
"How can we do better in the future?", "Hur kan vi lyckas bättre i framtiden?"
"How can we do this?", "Hur ska vi gå tillväga för att göra detta?"
"How can we do this?", "Hur skall vi kunna förbättra detta klimat?"
"But how can we do this?", "Men hur kan vi göra det?"
"How can we do that?", "Hur kan vi åstadkomma detta?"
"How can we do so?", "Hur skall vi kunna göra det?"
"How can we do this?", "Hur skall vi klara detta?"
"How can we do this?", "Hur ska vi då göra det?"
"How can we do this?", "Hur kan vi göra detta?"
"How can we do this?", "Hur kan vi göra det?"
"How can we do this?", "Hur uppnår vi detta?"
"This is a 16th century image to show you how widespread his veneration actually was.", "Detta är en bild från 1500-talet som visar hur vida spridd vördnaden för honom var."
"This brings home how widespread terrorism and the effects of terrorism have become.", "Detta visar klart hur utbredd terrorismen och dess konsekvenser har blivit."
"We are clearly not accustomed to thinking about how widespread the problem is.", "Uppenbarligen är vi inte vana vid att tänka på hur utbrett problemet är."
"Indeed, I feel that we can all see how the widespread praise for the Luxembourg Prime Minister is justified.", "I själva verket anser jag att vi alla kan vara ense om att de omfattande lovorden för Luxemburgs premiärminister är berättigade."
