//Sentences
"They do not want unfair competition from competitors in other parts of the world.", "De vill inte ha orättvis konkurrens från konkurrenter i andra delar av världen."
"There are no other parts of the world to which we intend giving such a derogation.", "Vi har inte tänkt bevilja ett sådant undantag för några andra delar av världen."
"What can we do to help other parts of the world to progress in their development?", "Vad kan vi göra för att hjälpa andra delar av världen att gå vidare i utvecklingen?"
"I believe that Europe is really well ahead of other parts of the world in this field.", "Jag tror att Europa här verkligen har hunnit långt före de andra världsdelarna."
"We could have some bilateral trade agreements with other parts of the world.", "Vi skulle kunna ingå vissa bilaterala handelsavtal med andra parter i världen."
"Many other parts of the world have experienced the heat of the Chinese dragon.", "Många andra delar av världen har fått värme från den kinesiska drakens eld."
"We should not be importing neo-liberal models into Europe from other parts of the world.", "Vi borde inte importera nyliberala modeller till EU från andra delar av världen."
"Other parts of the world, including Europe, should learn lessons from this disaster.", "Andra delar av världen, däribland Europa, bör dra lärdom av denna katastrof."
"Other parts of the world have not been blessed with peace in the last 50 years.", "Andra delar av världen har inte välsignats med fred de senaste 50 åren."
"It should, however, stimulate compatible solutions in other parts of the world.", "Det bör dock stimulera kompatibla lösningar i andra delar av världen."
"We do not want to see our industries moving away to other parts of the world.", "Vi vill inte att våra industrier flyttar till andra delar av världen."
"What has happened in Japan could happen in other parts of the world - even here.", "Det som hänt i Japan kan hända i andra delar av världen, även här."
"In other parts of the world, such as Africa, it is a different matter.", "I andra delar av världen, till exempel i Afrika, gäller andra förhållanden."
"Obviously, the EU must cooperate in this area with other parts of the world.", "Självfallet skall EU samarbeta på området med andra delar av världen."
"Europe cannot lay claim to rights in other parts of the world any longer.", "Europa kan inte längre tillskriva sig rättigheter i andra världsdelar."
"The EU is now already providing financial and technical aid to other parts of the world.", "EU genomför redan i dag finansiella och tekniska stödinsatser till andra delar av världen."
"Everybody knows what has happened in other parts of the world in the way of systemic crises.", "Alla känner till vad som har hänt i andra delar av världen när det gäller systemkriser."
"Travelling and meeting people from other parts of the world is important.", "Att resa och möta människor från andra delar av världen är viktigt."
"Our training standards are in competition today with those of other parts of the world.", "Vår kompetens utsätts idag för konkurrens från andra världsdelar."
"I witness this, and so do you, when we visit other parts of the world.", "Jag har blivit vittne till detta, och det har ni också, när vi besöker andra delar av världen."
"In our search to find the right solutions, many people have given us their help.", "Vid vårt sökande efter de riktiga lösningarna är det många som varit till hjälp."
"An honest search for the things which unite us is also a search for our centre.", "En uppriktig strävan efter vad som förenar oss är också ett sökande efter ett centrum."
"And the European Council meeting tomorrow marks the start of our search for the way out.", "Europeiska rådets möte i morgon markerar början på vårt sökande efter en väg ut."
"Google will review the request and may remove the information from our search results.", "Google granskar begäran och kan sedan ta bort informationen från våra sökresultat."
"We should also search our own hearts, for there is no market without clients.", "Vi bör också rannsaka oss själva, för det finns ingen marknad utan kunder."
"Our search index is constantly evolving as content is added and modified on the web.", "Vårt sökindex förändras ständigt allteftersom innehåll läggs till och ändras på webben."
"I would also like to add that the possibility of using our search engines was mentioned.", "Låt mig även ta upp den möjlighet att använda våra sökmotorer som nämndes."
"Advertising with Google won't have any effect on your site's presence in our search results.", "Annonsering med Google förbättrar inte din webbplats placering i våra sökresultat."
"We as Europeans should therefore search our own hearts from time to time.", "Som européer bör vi därför rannsaka våra egna samveten allt emellanåt."
"To find LDP Centre at Twitter, search for our Twitter name "ldbcentrum".", "För att hitta LDB-centrum på Twitter, sök efter namnet "ldbcentrum"."
"We as Europeans should therefore search our own hearts from time to time.", "Detta är nyckelmålsättningen för varje transatlantiskt toppmöte."
"We, the Members of this Parliament, will also give you our support in the search for a solution.", "Vi, parlamentsledamöterna, kommer också att ge er vårt stöd i sökandet efter en lösning."
"Google also recognizes markup for video content and uses it to improve our search results.", "Google godtar även kodning för videoinnehåll och använder den för att förbättra sökresultatet."
"When a page is updated or removed, it will automatically fall out of our search results.", "När en sida uppdateras eller tas bort försvinner den gamla sidan automatiskt från vårt sökresultat."
"We on this side of the Atlantic Ocean have all the more reason to first search our own hearts.", "Vi på den här sidan Atlanten har desto större anledning att först rannsaka vårt eget samvete."
"The year 2007 will also mark a turning point in our search for an institutional settlement.", "År 2007 kommer också att utgöra en vändpunkt i vårt sökande efter en institutionell överenskommelse."
"We are only at the beginning of our search for the best solutions for all the areas concerned.", "Vi befinner oss bara i början av sökandet efter de bästa lösningarna för alla inblandade områden."
"For years, you have been our partner in the search for solutions.", "I åratal har ni varit vår partner i sökandet efter lösningar."
"The bot we use for our web search is Googlebot.", "Den sökrobot som vi använder för våra webbsökningar kallas Googlebot."
"It returns the same results as clicking Similar pages next to a result on our search results page.", "Den returnerar samma resultat som om du klickar på Liknande sidor bredvid ett resultat på vår sökresultatsida."
"O Lord God... with a strong hand thou dost bring us out of bitter bondage.", "Herre Gud, med en stark hand för Du oss ut ur bitter träldom."
"Turn from thy fierce wrath, O Lord!", "Herre, stilla Din ursinniga vrede!"
"Who is like unto Thee, O Lord?", "Vem kan vara Din like, Herre?"
"# Thank thee, O Lord... #", "Vi tackar Dig, Herre..."
"From the burning bush, O Lord, you charged me to bring the people to this holy mountain, to behold your glory and receive your law.", "Från den brinnande busken, Herre, beordrade Du mig att föra folket till detta heliga berg för att uppleva Din härlighet och lära oss Dina lagar."
"O, my lord!", "Min herre!"
"If the OBD discovers a defect in the exhaust system, the fault must be removed.", "Om det inbyggda diagnostiska systemet upptäcker en defekt i avgassystemet, så måste felet undanröjas."
"Mr Florenz, we wish in any case to put together a package which also includes the OBD requirements.", "Vi vill ju hur som helst göra ett paket, dit naturligtvis också kraven på fordonsburen diagnosteknik hör - det säger jag med adress till herr Florenz."
"The OBD systems will require greater discipline on the part of the consumer, who must keep his vehicle constantly in tiptop condition.", "OBD-systemen kommer att kräva större disciplin från konsumenten, som ständigt måste hålla sitt fordon i bästa skick."
"OBD, to be fitted to diesel cars as from 2000.", "Man föreslår i betänkandet, att det obligatoriskt skall monteras system för omborddiagnos, alltså OBD, på dieselbilar från år 2000."
"Here too the European Parliament wants standardized and free access to the OBD systems, which I fully support.", "Även här vill Europaparlamentet engagera sig för en standardiserad och fri tillgång till inbyggda diagnossystemen, vilket har mitt fulla stöd."
"OBD, to be fitted to diesel cars as from 2000.", "Man föreslår i betänkandet, att det obligatoriskt skall monteras system för omborddiagnos, alltså OBD, på dieselbilar från år 2000."
"In this, the on board diagnostic systems (OBD) will play an important role by checking the exhaust emissions and drawing the owner's attention to defects.", "Där kommer de inbyggda diagnostiska systemen (OBD) att spela en viktig roll, därför att de kontrollerar avgasutsläppen och gör ägaren uppmärksam på fel."
"We have had the setting up of OCCAR.", "Vi har upprättat Occar (Organisme conjoint de coopération en matière d'armement)."
"It should, I hope, go beyond the OCCAR – the Organisation for Joint Armament Cooperation – which was a big disappointment.", "Försvarsindustrins påtryckningsgrupper har till och med lyckats få med detta organ i utkastet till EU-konstitution."
"It should, I hope, go beyond the OCCAR – the Organisation for Joint Armament Cooperation – which was a big disappointment.", "Det bör, hoppas jag, kunna fungera bättre än Occar – det gemensamma organet för samarbete i fråga om krigsmateriel – som blev en stor besvikelse."
