//Sentences
"What is still at issue is at what level added value can be provided most effectively.", "Vad det fortfarande är fråga om är på vilken nivå man effektivast skapar mervärde."
"We, as politicians, are elected to monitor at a European level what happens.", "Som politiker har vi valts för att övervaka vad som sker på europeisk nivå."
"It would be interesting to know what percentage level we are talking about here.", "Det skulle vara intressant att veta vilka procentsatser som diskuteras."
"We also have to check what level of protection is afforded to data that is transmitted.", "Vi måste också kontrollera vilken skyddsnivå som ges för de uppgifter som överförs."
"Of course, this high level is what has provoked the concern of the legislative authority.", "Och det är självfallet denna stora koncentration som föranlett lagstiftarens oro."
"There has been no mention of what level of inflation would be harmful to the economy.", "Ingenstans har man specificerat vilken inflationsprocent som är skadlig för ekonomin."
"What level of deterioration in the situation will trigger these sanctions?", "Hur mycket måste läget försämras för att dessa sanktioner skall tillämpas?"
"What level of compliance can be demanded when we are talking about applying tests?", "Till vilken grad kan vi kräva att tillämningen av testsystemet följs?"
"It is difficult to say at the moment what the level of energy wastage is in the European Union.", "Det är svårt att säga hur mycket energi som för närvarande går till spillo i EU."
"We need to know, however, which reaction is more effective and at what level.", "Men vi måste veta vilket svar som är effektivast och på vilken nivå."
"Our newest brain, our Homo sapien brain, our neocortex, corresponds with the "what" level.", "Vår nyaste hjärna, vår homo sapien hjärna, vår neokortex, motsvarar med "vilken" nivå."
"What is still at issue is at what level added value can be provided most effectively.", "Jag skulle vilja uppmärksamma några få och viktiga frågor som nämndes av talare på er sida."
"Where and at what level should consultation and dialogue with the European Commission take place?", "Var och på vilken nivå bör samråd och dialog med Europeiska kommissionen äga rum?"
"The concept is a very important one: what is the safe level of each chemical for humans to eat?", "Problemet här är mycket viktigt: vilken är varje kemikalies säkra nivå i mat?"
"We will make clear what has to be done at European level and what has to be at national level.", "Vi kommer att förtydliga vad som måste göras på EU-nivå respektive på nationell nivå."
"At European level, what we can do is apply effective sanctions against the leaders of the regime.", "Det vi kan göra på EU-nivå är att införa effektiva sanktioner mot regimens ledare."
"It would be interesting to learn what the high-level group thought on this issue.", "Det vore intressant att veta vad gruppen på hög nivå uttalat."
"What level of security clearance do we want to grant to how many Members?", "Vilket slags sekretessnivå ska beviljas till hur många ledamöter?"
"Another point which was made by some of you was: what is the level of ambition?", "Vissa av er tog upp en annan fråga. Vad är ambitionsnivån?"
"What level of growth is expected from which liberalisations?", "Vilken tillväxtnivå förväntas och vilka liberaliseringar leder till tillväxt?"
"What are the seating arrangements?", "Hur är placeringen vid middagen?"
"Even in warm weather, the energy issue has a European dimension to it, and it is an issue we must address together.", "Det varma vädret till trots har energifrågan en europeisk dimension och det är en fråga vi måste lösa tillsammans."
"There are toxic algae in the sea, and that can cause various diseases in children if they go and swim in the sea in warm weather.", "Det finns giftalger i havet som kan orsaka olika sjukdomar hos barnen om de badar i havet när det är varmt."
"I certainly believe that we could get along without it, although I am not prepared to give up the warm summer weather.", "Jag tror visserligen att vi kan klara oss utan sommartid, men jag är dock inte villig att ge upp det varma sommarvädret."
"The trouble is that, in those days of lovely warm weather after 13 June, when Enrique went down to the beach he found Martin Schulz's towel on his deck chair!", "Problemet är att de där dagarna när det var ljuvligt varmt väder efter den 13 juni, så hittade Enrique Martin Schulz handduk på sin solstol när han gick ner till stranden!"
